precision,recall
0.0015,1.0
0.0015010507355148605,1.0
0.0015037593984962407,1.0
0.0015048154093097914,1.0
0.0015049663890839772,1.0
0.0008453085376162299,0.5333333333333333
0.000849166755121537,0.5333333333333333
0.000759631036353771,0.4666666666666667
0.0006628369421122404,0.4
0.0006643046944198405,0.4
0.00047522870381371034,0.26666666666666666
0.0004829751267809708,0.26666666666666666
0.00038284839203675346,0.2
0.00038870173620108835,0.2
0.0004320276497695853,0.2
0.00031289111389236547,0.13333333333333333
0.00031308703819661864,0.13333333333333333
0.00031710797526557794,0.13333333333333333
0.000319744204636291,0.13333333333333333
0.00017021276595744682,0.06666666666666667
0.00017152658662092623,0.06666666666666667
0.00017917935853789643,0.06666666666666667
0.00018162005085361425,0.06666666666666667
0.00018241517694272163,0.06666666666666667
0.00018258170531312764,0.06666666666666667
0.00018261504747991235,0.06666666666666667
0.0001827485380116959,0.06666666666666667
0.0001830831197363603,0.06666666666666667
0.00018318373328448433,0.06666666666666667
0.000183452577508714,0.06666666666666667
0.00018375597206909226,0.06666666666666667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
